input,output
"What is a variable in programming?","A variable is a container used to store data values in a program."
"What is the difference between `let` and `const` in JavaScript?","`let` allows reassignment, while `const` does not. `const` is used to declare variables that cannot be reassigned."
"What is a function in JavaScript?","A function is a block of reusable code designed to perform a specific task."
"What is a class in Python?","A class in Python is a blueprint for creating objects, providing initial values for state (member variables), and implementations of behavior (methods)."
"What is an array?","An array is a data structure that stores multiple values in a single variable, accessible by index."
"What is recursion in programming?","Recursion is a method where a function calls itself to solve smaller instances of a problem."
"What is the use of the `return` keyword in functions?","The `return` keyword is used to exit a function and optionally return a value to the caller."
"How does a for loop work in Python?","A for loop iterates over a sequence (like a list or string) and executes a block of code for each element."
"How do you declare a function in JavaScript?","A function is declared using the `function` keyword followed by the function name and parameters."
"What is a dictionary in Python?","A dictionary is a collection of key-value pairs where each key maps to a value."
"What is an object in JavaScript?","An object is a collection of key-value pairs, where each key is a string and the value can be any data type."
"What is an if statement?","An if statement is used to perform a block of code only if a specified condition is true."
"What is a loop?","A loop is used to repeatedly execute a block of code as long as a specified condition is met."
"What is a string in programming?","A string is a sequence of characters used to represent text."
"What is a while loop?","A while loop repeats a block of code as long as a given condition is true."
"What is a switch case in JavaScript?","A switch statement executes one of several code blocks based on a specified expression."
"What is the difference between `==` and `===` in JavaScript?","`==` compares values for equality with type coercion, while `===` checks both value and type without coercion."
"What is a parameter in programming?","A parameter is a variable used in a function definition to accept input values."
"What is a return value?","A return value is the result that a function gives back after execution, using the `return` keyword."
"What is a constructor in a class?","A constructor is a special method used to initialize objects of a class."
"What is the difference between an array and a list in Python?","In Python, lists are mutable, whereas arrays (from the `array` module) are typically used for numeric data and are more memory efficient."
"What is the purpose of the `break` statement?","The `break` statement is used to exit a loop or switch statement prematurely."
"What is the purpose of the `continue` statement?","The `continue` statement is used to skip the current iteration of a loop and proceed to the next iteration."
"What is an exception in programming?","An exception is an event that disrupts the normal flow of a program and requires special handling."
"What is exception handling?","Exception handling is the process of responding to and managing errors or exceptional conditions during program execution."
"What is the `try...catch` block in JavaScript?","The `try...catch` block is used to handle exceptions by attempting code in the `try` block and catching errors in the `catch` block."
"What is the difference between `null` and `undefined` in JavaScript?","`null` is an assigned value representing 'no value', while `undefined` means a variable has been declared but not assigned a value."
"What is the DOM?","The Document Object Model (DOM) represents the structure of an HTML document as a tree of objects."
"What is an event listener in JavaScript?","An event listener is a function that waits for a specific event to occur (e.g., a click, keypress) and responds when it does."
"What is `this` in JavaScript?","`this` refers to the context in which a function is executed, often referring to the object the function is a method of."
"What is the difference between `map()` and `forEach()` in JavaScript?","`map()` creates a new array with the results of applying a function to each element, while `forEach()` simply iterates over the array."
"What is the `splice()` method in JavaScript?","The `splice()` method changes the contents of an array by removing or replacing elements."
"What is `async` and `await` in JavaScript?","`async` makes a function return a promise, and `await` pauses the execution until the promise is resolved."
"What is a promise in JavaScript?","A promise is an object representing the eventual completion or failure of an asynchronous operation."
